dataset_id,display_name,api,scope,current_state,target_state,dimensions_or_endpoint,required_filters,window_strategy,page_contract,availability,phase,notes
channel_totals,Channel Totals,Analytics targeted,channel,stable,retain,"none","none",query_each_window,"single row",channel,0,"Reference implementation for 7d 28d 90d 365d lifetime"
daily_metrics,Daily Stats,Analytics targeted,channel,stable,retain,"day","none",derive_daily,"paginated rows",channel,0,"Canonical additive fact source"
monthly_metrics,Monthly Stats,Analytics targeted,channel,stable,retain,"month","none",native_month,"paginated rows",channel,0,"Month requests use first day of month"
video_catalog,Video Catalog,Data API,channel,stable,retain,"playlistItems.list + videos.list","owned uploads playlist",metadata_freshness,"50 video IDs per videos.list",channel,0,"No analytics time window; preserve complete inventory"
video_analytics,Video Analytics,Analytics targeted,channel,stable,retain,"video","owned video IDs",query_each_window,"existing 200-video Analytics batches",channel,1,"Do not auto-run from unrelated datasets"
playback_location_type,Playback Locations,Analytics targeted,channel,stable,expand,"insightPlaybackLocationType","optional video/group/geography/playback filters",query_each_window,"standard analytics paging",channel,2,"Add shared windows and selected-video scope"
playback_location_detail,Embedded Playback Detail,Analytics targeted,channel,missing,add,"insightPlaybackLocationDetail","insightPlaybackLocationType==EMBEDDED; optional video/group",query_each_window,"maxResults=25; sort required; startIndex until terminal",channel,2,"Preserve successful pages on later-page failure"
playback_content_type,Content Type,Analytics targeted,channel,stable,migrate,"creatorContentType","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"Move current query into shared report registry"
playback_live_on_demand,Live vs On Demand,Analytics targeted,channel,missing,add,"liveOrOnDemand","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"Cannot share a request with averageViewPercentage"
playback_subscribed_status,Subscriber Status,Analytics targeted,channel,stable,migrate,"subscribedStatus","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"Move current query into shared report registry"
playback_youtube_product,YouTube Product,Analytics targeted,channel,missing,add,"youtubeProduct","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"CORE GAMING KIDS MUSIC UNKNOWN"
playback_content_subscribed,Content Type x Subscriber Status,Analytics targeted,channel,stable,formalize,"creatorContentType,subscribedStatus","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"Existing format-subscriber table becomes registry-driven"
playback_content_product,Content Type x YouTube Product,Analytics targeted,channel,missing,add,"creatorContentType,youtubeProduct","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"Validated combination only"
playback_device_product,Device x YouTube Product,Analytics targeted,channel,missing,add,"deviceType,youtubeProduct","optional video/group/geography",query_each_window,"standard analytics paging",channel,2,"Can extend to OS through validated query shapes"
traffic_overview,Traffic Overview,Analytics targeted,channel,stable,expand,"insightTrafficSourceType","optional video/group/geography/playback filters",derive_daily,"standard analytics paging",channel,3,"Accept all returned source enums plus unknown future values"
traffic_detail_stable,Traffic Detail Stable Sources,Analytics targeted,channel,stable,retain,"insightTrafficSourceDetail","supported insightTrafficSourceType",query_each_window,"maxResults=25; sort required; startIndex until terminal",channel,3,"Advertising external hashtags subscriber other search related sound channel"
traffic_notification_overview,Notification Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","insightTrafficSourceType==NOTIFICATION",derive_daily,"standard analytics paging",channel,3,"Google channel report says detail is unsupported"
traffic_end_screen_overview,End Screen Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","insightTrafficSourceType==END_SCREEN",derive_daily,"standard analytics paging",channel,3,"Do not issue insightTrafficSourceDetail query unless probe succeeds"
traffic_video_remix_overview,Video Remix Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","insightTrafficSourceType==VIDEO_REMIXES",derive_daily,"standard analytics paging",channel,3,"Detail contract conflicts across Google documentation"
traffic_watch_with,Watch With Traffic,Analytics targeted,selected_video,disabled,probe,"insightTrafficSourceDetail","video==ID; insightTrafficSourceType==WATCH_WITH",query_each_window,"maxResults=25; sort required",probe_required,3,"Enable only after real selected-video contract validation"
traffic_shorts_overview,Shorts Feed Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","insightTrafficSourceType==SHORTS",derive_daily,"standard analytics paging",channel,3,"Traffic detail is not populated for SHORTS"
traffic_no_link_overview,No-Link Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","NO_LINK_EMBEDDED or NO_LINK_OTHER",derive_daily,"standard analytics paging",channel,3,"No-link embedded detail is unsupported"
traffic_playlist_overview,Playlist Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","PLAYLIST or playlist-page variant",derive_daily,"standard analytics paging",channel,3,"Preserve unknown/current enum values from API"
traffic_product_promoted_overview,Product and Promoted Traffic,Analytics targeted,channel,disabled,add_overview_only,"insightTrafficSourceType","PRODUCT_PAGE or PROMOTED",derive_daily,"standard analytics paging",channel,3,"Separate rows by source type"
video_deep_summary,Video Deep Dive Summary,Analytics targeted,selected_video,missing,add,"none","video==ID",query_each_window,"single row per bundle/window",channel,4,"Independent from global video sync"
video_deep_timeline,Video Deep Dive Timeline,Analytics targeted,selected_video,missing,add,"day or month","video==ID",derive_daily,"standard analytics paging",channel,4,"Canonical source for video windows"
video_deep_playback,Video Deep Dive Playback Details,Analytics targeted,selected_video,missing,add,"creatorContentType/liveOrOnDemand/subscribedStatus/youtubeProduct","video==ID",query_each_window,"standard analytics paging",channel,4,"Separate incompatible live and AVP bundles"
