category_name,canonical_key,kind,source_system,scope,api_name_camel,api_name_snake,where_documented,received_now,evidence_of_receipt,how_to_receive_if_missing,constraints
Ad Impressions,adImpressions,metric,youtube_analytics_api,monetization,adImpressions,ad_impressions,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,partial,documented but sparse in current rows,add dedicated monetization metric group and cache,requires monetization scope
Adjustment Type,adjustment_type,field,youtube_reporting_api,monetization,,adjustment_type,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Ad Type,adType,dimension,youtube_analytics_api,monetization,adType,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query monetization reports with dimensions=adType,monetization scope required
Age Group,ageGroup,dimension,youtube_analytics_api,demographic,ageGroup,age_group,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.demographics rows,,privacy-threshold omissions
Annotation Clickable Impressions,annotationClickableImpressions,metric,youtube_analytics_api,long_only,annotationClickableImpressions,annotation_clickable_impressions,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Annotation Clicks,annotationClicks,metric,youtube_analytics_api,long_only,annotationClicks,annotation_clicks,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Annotation Click Through Rate,annotationClickThroughRate,metric,youtube_analytics_api,long_only,annotationClickThroughRate,annotation_click_through_rate,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Annotation Closable Impressions,annotationClosableImpressions,metric,youtube_analytics_api,long_only,annotationClosableImpressions,annotation_closable_impressions,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Annotation Close Rate,annotationCloseRate,metric,youtube_analytics_api,long_only,annotationCloseRate,annotation_close_rate,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Annotation Closes,annotationCloses,metric,youtube_analytics_api,long_only,annotationCloses,annotation_closes,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Annotation Impressions,annotationImpressions,metric,youtube_analytics_api,long_only,annotationImpressions,annotation_impressions,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query legacy annotation metrics only for historical windows,annotations sunset in 2019
Asset ID,asset_id,field,youtube_reporting_api,monetization,,asset_id,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,create/reporting jobs endpoint + daily CSV ingest + warehouse parser,reporting API job required; monetized/content-owner contexts
Asset Policy Block Territories,asset_policy_block,field,youtube_reporting_api,monetization,,asset_policy_block,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Asset Policy Monetize Territories,asset_policy_monetize,field,youtube_reporting_api,monetization,,asset_policy_monetize,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Asset Policy Track Territories,asset_policy_track,field,youtube_reporting_api,monetization,,asset_policy_track,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only
Audience Type,audienceType,dimension,youtube_analytics_api,retention,audienceType,audience_retention_type,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query retention reports with dimensions=audienceType,
Audience Watch Ratio,audienceWatchRatio,metric,youtube_analytics_api,long_only,audienceWatchRatio,audience_watch_ratio,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query with dimensions=elapsedVideoTimeRatio and long-form video filter,not meaningful/available for shorts
Average Concurrent Viewers,averageConcurrentViewers,metric,youtube_analytics_api,long_only,averageConcurrentViewers,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query live stream metric set,live-only availability
Average Time in Playlist,averageTimeInPlaylist,metric,youtube_analytics_api,video_shared,averageTimeInPlaylist,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist report family,playlist context only
Average View Duration,averageViewDuration,metric,youtube_analytics_api,video_shared,averageViewDuration,average_view_duration_seconds,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/VIDEO_TYPE_AND_DATA_ANALYSIS_REPORT.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,derived/enriched in unified row + API source,,
Average View Percentage,averageViewPercentage,metric,youtube_analytics_api,video_shared,averageViewPercentage,average_view_duration_percentage,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/VIDEO_TYPE_AND_DATA_ANALYSIS_REPORT.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,derived/enriched in unified row + API source,,
Card Click Rate,cardClickRate,metric,youtube_analytics_api,long_only,cardClickRate,card_click_rate,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query directly or derive cardClicks/cardImpressions,long-form feature only
Card Clicks,cardClicks,metric,youtube_analytics_api,long_only,cardClicks,card_clicks,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query long-form card metrics,long-form feature only
Card Impressions,cardImpressions,metric,youtube_analytics_api,long_only,cardImpressions,card_impressions,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query long-form metrics for cards,long-form feature only
Card Teaser Click Rate,cardTeaserClickRate,metric,youtube_analytics_api,long_only,cardTeaserClickRate,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query directly where supported,long-form feature only
Card Teaser Clicks,cardTeaserClicks,metric,youtube_analytics_api,long_only,cardTeaserClicks,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query long-form card teaser metrics,long-form feature only
Card Teaser Impressions,cardTeaserImpressions,metric,youtube_analytics_api,long_only,cardTeaserImpressions,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query long-form card teaser metrics,long-form feature only
